dataset,model,total,matched_deprecated,match_rate,path
torch_norm_to_linalg_norm,starcoder2-3b,971,843,0.868177,base_api_matches/edapi_torch_completion/torch_norm_to_linalg_norm_starcoder2-3b_base_deprecated_matches.jsonl
torch_norm_to_linalg_norm,starcoder2-7b,971,849,0.874356,base_api_matches/edapi_torch_completion/torch_norm_to_linalg_norm_starcoder2-7b_base_deprecated_matches.jsonl
torch_norm_to_linalg_norm,starcoder2-15b,971,763,0.785788,base_api_matches/edapi_torch_completion/torch_norm_to_linalg_norm_starcoder2-15b_base_deprecated_matches.jsonl
torch_norm_to_linalg_norm,deepseek-coder-6.7b-instruct,971,643,0.662204,base_api_matches/edapi_torch_completion/torch_norm_to_linalg_norm_deepseek-coder-6.7b-instruct_base_deprecated_matches.jsonl
torch_norm_to_linalg_norm,codellama-7b,971,767,0.789907,base_api_matches/edapi_torch_completion/torch_norm_to_linalg_norm_codellama-7b_base_deprecated_matches.jsonl
torch_svd_to_linalg_svd,starcoder2-3b,525,450,0.857143,base_api_matches/edapi_torch_completion/torch_svd_to_linalg_svd_starcoder2-3b_base_deprecated_matches.jsonl
torch_svd_to_linalg_svd,starcoder2-7b,525,515,0.980952,base_api_matches/edapi_torch_completion/torch_svd_to_linalg_svd_starcoder2-7b_base_deprecated_matches.jsonl
torch_svd_to_linalg_svd,starcoder2-15b,525,514,0.979048,base_api_matches/edapi_torch_completion/torch_svd_to_linalg_svd_starcoder2-15b_base_deprecated_matches.jsonl
torch_svd_to_linalg_svd,deepseek-coder-6.7b-instruct,525,240,0.457143,base_api_matches/edapi_torch_completion/torch_svd_to_linalg_svd_deepseek-coder-6.7b-instruct_base_deprecated_matches.jsonl
torch_svd_to_linalg_svd,codellama-7b,525,502,0.956190,base_api_matches/edapi_torch_completion/torch_svd_to_linalg_svd_codellama-7b_base_deprecated_matches.jsonl
